Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
What is the capital of France?,Madrid,Rome,Paris,Berlin,C
What is the largest planet in our solar system?,Earth,Jupiter,Mars,Saturn,B
If a train travels 60 km in 1 hour, how far will it travel in 3 hours?,120 km,180 km,240 km,300 km,B
What is 15% of 200?,20,25,30,35,C
If you have 3 apples and you give 2 away, how many do you have left?,1,2,3,4,A
What is the next number in the sequence 2, 4, 8, 16?,18,24,32,40,C
A man bought a car for $20,000. He sold it for $15,000. What was his loss?,$3,000,$4,000,$5,000,$6,000,C
What is the square root of 144?,10,11,12,13,C
If you roll a six-sided die, what is the probability of rolling a 4?,1/6,1/4,1/3,1/2,A
What is 8 multiplied by 7?,48,56,64,72,B
How many degrees are in a triangle?,90,180,270,360,B
What is 20% of 500?,50,75,100,125,C
If a book costs $45 and is on sale for 20% off, what is the sale price?,$36,$40,$42,$45,A
In a class of 30 students, 12 are boys. What percentage are girls?,30%,40%,50%,60%,D
What is the area of a rectangle with length 8 cm and width 5 cm?,30 cm²,35 cm²,40 cm²,45 cm²,C
If a jacket is originally $120 and is discounted by $30 what is the new price?,$80,$90,$100,$110,B
What is the median of the numbers 4, 8, 6, 5, 7?,5,6,7,8,B
A person traveled 120 km in 3 hours. What was the average speed?,30 km/h,40 km/h,50 km/h,60 km/h,D
How many sides does a pentagon have?,4,5,6,7,B
If a recipe requires 2 cups of sugar and you want to make half the recipe, how many cups of sugar do you need?,1,1.5,2,2.5,A
What is the volume of a cube with edge length 3 cm?,6 cm³,9 cm³,18 cm³,27 cm³,D
What is the total cost for 7 items priced at $15 each?,$90,$105,$120,$135,A
If a person earns $500 a week, how much will they earn in 4 weeks?,$1,500,$2,000,$2,500,$3,000,B
What is the result of 45 divided by 9?,4,5,6,7,B
If a car travels 100 km in 2 hours, what is its speed in km/h?,40 km/h,50 km/h,60 km/h,70 km/h,C
What is the largest prime number less than 20?,13,17,19,23,C
If a clock shows 3:00 PM, what will be the time in 3 hours?,6:00 PM,7:00 PM,8:00 PM,9:00 PM,B
What is the difference between 65 and 29?,36,37,38,39,A
What is the sum of angles in a triangle?,180°,270°,360°,90°,A
How many days are there in 4 weeks?,20,21,28,30,C
